tdate,BDI,BCI,BPI,BSI,BHI,BCTI,BDTI
2012/7/4,1103,1369,1051,1284,716,559,665
2012/7/5,1138,1455,1090,1293,715,559,659
2012/7/6,1157,1493,1129,1296,713,559,654
2012/7/9,1162,1501,1145,1299,709,557,649
2012/7/10,1160,1484,1160,1300,704,555,640
2012/7/11,1146,1428,1175,1299,701,554,632
2012/7/12,1121,1352,1187,1294,696,553,628
2012/7/13,1110,1320,1202,1287,692,556,629
2012/7/16,1102,1310,1209,1277,687,556,626
2012/7/17,1093,1301,1214,1261,680,558,624
2012/7/18,1074,1286,1206,1239,672,556,621
2012/7/19,1053,1276,1183,1212,666,559,622
2012/7/20,1037,1276,1156,1192,657,560,624
2012/7/23,1022,1275,1134,1173,647,564,627
2012/7/24,1003,1261,1109,1156,640,568,630
2012/7/25,982,1239,1088,1133,631,583,633
2012/7/26,958,1224,1058,1099,617,583,640
2012/7/27,933,1209,1031,1069,602,582,643
2012/7/30,915,1200,1010,1047,593,580,645
2012/7/31,897,1194,982,1032,580,579,642
2012/8/1,878,1181,954,1023,570,579,638
2012/8/2,861,1178,931,1010,558,577,634
2012/8/3,852,1200,910,995,552,576,626
2012/8/6,843,1214,890,982,544,578,623
2012/8/7,836,1237,868,966,539,579,619
2012/8/8,812,1204,840,946,538,580,615
2012/8/9,790,1192,823,906,535,582,613
2012/8/10,774,1169,814,886,531,581,612
2012/8/13,764,1158,804,877,523,581,608
2012/8/14,750,1147,803,865,512,583,604
2012/8/15,728,1120,801,856,506,586,604
2012/8/16,720,1105,801,847,502,588,606
2012/8/17,714,1095,806,841,496,587,608
2012/8/20,711,1087,819,838,490,583,610
2012/8/21,709,1082,833,833,485,579,614
2012/8/22,712,1091,843,833,481,578,617
2012/8/23,715,1103,840,845,477,578,617
2012/8/24,717,1124,828,853,474,579,618
2012/8/28,724,1182,812,857,472,580,620
2012/8/29,718,1177,788,858,466,582,622
2012/8/30,707,1169,758,855,463,581,626
2012/8/31,703,1172,735,857,459,581,627
2012/9/3,698,1180,714,852,458,580,628
2012/9/4,693,1186,686,849,456,579,626
2012/9/5,684,1188,647,845,455,578,628
2012/9/6,675,1186,617,837,457,581,631
2012/9/7,669,1186,599,832,458,582,634
2012/9/10,666,1188,582,827,461,582,637
